text,label
"This movie was absolutely amazing and I loved every second of it!",positive
"A wonderful film with great acting and beautiful cinematography",positive
"I highly recommend this movie to everyone",positive
"One of the best films I have seen this year",positive
"The storyline was engaging and the characters were well developed",positive
"A masterpiece of modern cinema",positive
"Excellent direction and superb performances",positive
"I was blown away by how good this movie was",positive
"A must-see film that everyone should watch",positive
"The movie exceeded all my expectations",positive
"This was a terrible waste of time",negative
"I hated every minute of this awful movie",negative
"Do not watch this film, it is so bad",negative
"The worst movie I have ever seen in my life",negative
"Poor acting and a nonsensical plot",negative
"I want my money back after watching this disaster",negative
"Boring, predictable, and utterly forgettable",negative
"A complete disappointment from start to finish",negative
"I cannot believe how bad this movie was",negative
"Avoid this film at all costs",negative
